Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,Reactome Gene Sets,6,R-MMU-382551,Transport of small molecules,,-7.1,7.9,8.3,21160,638,46,11,24,6.3,11771|11772|11938|11964|12322|12323|14683|22348|72961|98660|108664,Ap2a1|Ap2a2|Atp2a2|Atp6v1a|Camk2a|Camk2b|Gnas|Slc32a1|Slc17a7|Atp1a2|Atp6v1h,-4.6
MyList,KEGG Pathway,24,mmu04922,Glucagon signaling pathway - Mus musculus (house mouse),,-7,27,12,21160,104,46,6,13,5,12322|12323|14682|14683|18597|56421,Camk2a|Camk2b|Gnaq|Gnas|Pdha1|Pfkp,-4.6
MyList,GO Biological Processes,19,GO:0048167,regulation of synaptic plasticity,19_GO:0050789 regulation of biological process,-6.8,10,8.8,21160,402,46,9,20,5.8,12322|12323|13385|15461|17754|20614|20910|26562|50997,Camk2a|Camk2b|Dlg4|Hras|Map1a|Snap25|Stxbp1|Ncdn|Mpp2,-4.4
MyList,Reactome Gene Sets,6,R-MMU-8953897,Cellular responses to stimuli,,-6.7,8.5,8.2,21160,543,46,10,22,6.1,11964|12322|12323|13424|14672|14682|14683|15519|22152|108664,Atp6v1a|Camk2a|Camk2b|Dync1h1|Gna11|Gnaq|Gnas|Hsp90aa1|Tubb3|Atp6v1h,-4.3
MyList,KEGG Pathway,24,mmu04961,Endocrine and other factor-regulated calcium reabsorption - Mus musculus (house mouse),,-6.7,38,13,21160,61,46,5,11,4.6,11771|11772|14682|14683|98660,Ap2a1|Ap2a2|Gnaq|Gnas|Atp1a2,-4.3
MyList,GO Biological Processes,19,GO:1903530,regulation of secretion by cell,19_GO:0051179 localization,-6.6,7.1,7.7,21160,711,46,11,24,6.3,11938|12322|14672|14682|14683|14687|18195|19349|20614|20910|68585,Atp2a2|Camk2a|Gna11|Gnaq|Gnas|Gnaz|Nsf|Rab7|Snap25|Stxbp1|Rtn4,-4.3
MyList,GO Biological Processes,19,GO:0048858,cell projection morphogenesis,19_GO:0032502 developmental process,-6.5,8,7.9,21160,575,46,10,22,6.1,12322|12323|12799|13385|17754|20614|20910|22152|65254|234267,Camk2a|Camk2b|Cnp|Dlg4|Map1a|Snap25|Stxbp1|Tubb3|Dpysl5|Gpm6a,-4.2
MyList,GO Biological Processes,19,GO:0061024,membrane organization,19_GO:0009987 cellular process,-6.4,6.8,7.5,21160,748,46,11,24,6.3,11938|12322|12799|13385|15519|15525|19349|20614|20910|22334|68585,Atp2a2|Camk2a|Cnp|Dlg4|Hsp90aa1|Hspa4|Rab7|Snap25|Stxbp1|Vdac2|Rtn4,-4.1
MyList,Reactome Gene Sets,6,R-MMU-112314,Neurotransmitter receptors and postsynaptic signal transmission,,-6.4,21,11,21160,134,46,6,13,5,11771|11772|12322|12323|13385|18195,Ap2a1|Ap2a2|Camk2a|Camk2b|Dlg4|Nsf,-4.1
MyList,GO Biological Processes,19,GO:0050804,modulation of chemical synaptic transmission,19_GO:0050789 regulation of biological process,-6.2,6.6,7.3,21160,772,46,11,24,6.3,11938|12322|12323|13385|15461|17754|20614|20910|26562|50997|68585,Atp2a2|Camk2a|Camk2b|Dlg4|Hras|Map1a|Snap25|Stxbp1|Ncdn|Mpp2|Rtn4,-4
MyList,GO Biological Processes,19,GO:0099177,regulation of trans-synaptic signaling,19_GO:0050789 regulation of biological process,-6.2,6.5,7.3,21160,773,46,11,24,6.3,11938|12322|12323|13385|15461|17754|20614|20910|26562|50997|68585,Atp2a2|Camk2a|Camk2b|Dlg4|Hras|Map1a|Snap25|Stxbp1|Ncdn|Mpp2|Rtn4,-4
MyList,KEGG Pathway,24,mmu04971,Gastric acid secretion - Mus musculus (house mouse),,-6.2,31,12,21160,75,46,5,11,4.6,12322|12323|14682|14683|98660,Camk2a|Camk2b|Gnaq|Gnas|Atp1a2,-4
MyList,GO Biological Processes,19,GO:0006836,neurotransmitter transport,19_GO:0051179 localization,-6.2,19,10,21160,145,46,6,13,5,20614|20910|22348|72961|98660|104015,Snap25|Stxbp1|Slc32a1|Slc17a7|Atp1a2|Synj1,-4
MyList,Reactome Gene Sets,6,R-MMU-422475,Axon guidance,,-6.1,14,9.1,21160,238,46,7,15,5.3,11771|11772|15461|15519|22152|22240|65254,Ap2a1|Ap2a2|Hras|Hsp90aa1|Tubb3|Dpysl3|Dpysl5,-3.9
MyList,GO Biological Processes,19,GO:0048168,regulation of neuronal synaptic plasticity,19_GO:0050789 regulation of biological process,-6.1,29,12,21160,79,46,5,11,4.6,12322|12323|13385|15461|26562,Camk2a|Camk2b|Dlg4|Hras|Ncdn,-3.9
MyList,KEGG Pathway,24,mmu05022,Pathways of neurodegeneration - multiple diseases - Mus musculus (house mouse),,-6.1,8.6,7.9,21160,481,46,9,20,5.8,11938|12322|12323|13385|14682|15461|22152|22201|22334,Atp2a2|Camk2a|Camk2b|Dlg4|Gnaq|Hras|Tubb3|Uba1|Vdac2,-3.9
MyList,Reactome Gene Sets,6,R-MMU-9675108,Nervous system development,,-6.1,13,9.1,21160,239,46,7,15,5.3,11771|11772|15461|15519|22152|22240|65254,Ap2a1|Ap2a2|Hras|Hsp90aa1|Tubb3|Dpysl3|Dpysl5,-3.9
MyList,GO Biological Processes,19,GO:0051046,regulation of secretion,19_GO:0051179 localization,-6.1,6.4,7.2,21160,796,46,11,24,6.3,11938|12322|14672|14682|14683|14687|18195|19349|20614|20910|68585,Atp2a2|Camk2a|Gna11|Gnaq|Gnas|Gnaz|Nsf|Rab7|Snap25|Stxbp1|Rtn4,-3.9
MyList,GO Biological Processes,19,GO:0006812,monoatomic cation transport,19_GO:0051179 localization,-6.1,6.3,7.2,21160,798,46,11,24,6.3,11938|11964|12322|12323|18195|20614|22348|72961|98660|108664|234267,Atp2a2|Atp6v1a|Camk2a|Camk2b|Nsf|Snap25|Slc32a1|Slc17a7|Atp1a2|Atp6v1h|Gpm6a,-3.9
MyList,GO Biological Processes,19,GO:0070050,neuron cellular homeostasis,19_GO:0042592 homeostatic process,-6,28,11,21160,82,46,5,11,4.6,11938|11964|17754|72961|108664,Atp2a2|Atp6v1a|Map1a|Slc17a7|Atp6v1h,-3.9
MyList,KEGG Pathway,24,mmu04921,Oxytocin signaling pathway - Mus musculus (house mouse),,-6,18,9.9,21160,153,46,6,13,5,12322|12323|13629|14682|14683|15461,Camk2a|Camk2b|Eef2|Gnaq|Gnas|Hras,-3.9
MyList,KEGG Pathway,24,mmu04261,Adrenergic signaling in cardiomyocytes - Mus musculus (house mouse),,-6,18,9.8,21160,156,46,6,13,5,11938|12322|12323|14682|14683|98660,Atp2a2|Camk2a|Camk2b|Gnaq|Gnas|Atp1a2,-3.8
MyList,KEGG Pathway,24,mmu04540,Gap junction - Mus musculus (house mouse),,-5.9,27,11,21160,86,46,5,11,4.6,14672|14682|14683|15461|22152,Gna11|Gnaq|Gnas|Hras|Tubb3,-3.8
MyList,KEGG Pathway,24,mmu04020,Calcium signaling pathway - Mus musculus (house mouse),,-5.9,13,8.7,21160,254,46,7,15,5.3,11938|12322|12323|14672|14682|14683|22334,Atp2a2|Camk2a|Camk2b|Gna11|Gnaq|Gnas|Vdac2,-3.8
MyList,Reactome Gene Sets,6,R-MMU-983712,Ion channel transport,,-5.8,17,9.4,21160,167,46,6,13,5,11938|11964|12322|12323|98660|108664,Atp2a2|Atp6v1a|Camk2a|Camk2b|Atp1a2|Atp6v1h,-3.7
MyList,KEGG Pathway,24,mmu04022,cGMP-PKG signaling pathway - Mus musculus (house mouse),,-5.7,16,9.2,21160,172,46,6,13,5,11938|14672|14674|14682|22334|98660,Atp2a2|Gna11|Gna13|Gnaq|Vdac2|Atp1a2,-3.6
MyList,GO Biological Processes,19,GO:0099537,trans-synaptic signaling,19_GO:0050789 regulation of biological process,-5.7,9.1,7.7,21160,403,46,8,17,5.6,13385|20614|20910|50997|72961|104015|235380|269060,Dlg4|Snap25|Stxbp1|Mpp2|Slc17a7|Synj1|Dmxl2|Dagla,-3.6
MyList,KEGG Pathway,24,mmu04916,Melanogenesis - Mus musculus (house mouse),,-5.6,23,10,21160,100,46,5,11,4.6,12322|12323|14682|14683|15461,Camk2a|Camk2b|Gnaq|Gnas|Hras,-3.6
MyList,GO Biological Processes,19,GO:1903829,positive regulation of protein localization,19_GO:0051179 localization,-5.6,7.4,7.2,21160,556,46,9,20,5.8,13385|14672|14682|14683|15461|15519|17754|20614|68585,Dlg4|Gna11|Gnaq|Gnas|Hras|Hsp90aa1|Map1a|Snap25|Rtn4,-3.6
MyList,GO Biological Processes,19,GO:0007267,cell-cell signaling,19_GO:0050789 regulation of biological process,-5.6,6.4,6.9,21160,719,46,10,22,6.1,13385|14672|14682|20614|20910|50997|72961|104015|235380|269060,Dlg4|Gna11|Gnaq|Snap25|Stxbp1|Mpp2|Slc17a7|Synj1|Dmxl2|Dagla,-3.6
MyList,GO Biological Processes,19,GO:0048812,neuron projection morphogenesis,19_GO:0032502 developmental process,-5.6,7.4,7.2,21160,559,46,9,20,5.8,12322|12799|13385|17754|20614|20910|22152|65254|234267,Camk2a|Cnp|Dlg4|Map1a|Snap25|Stxbp1|Tubb3|Dpysl5|Gpm6a,-3.5
MyList,GO Biological Processes,19,GO:0099072,regulation of postsynaptic membrane neurotransmitter receptor levels,19_GO:0065007 biological regulation,-5.5,22,10,21160,103,46,5,11,4.6,11771|11772|12322|13385|15519,Ap2a1|Ap2a2|Camk2a|Dlg4|Hsp90aa1,-3.5
MyList,GO Biological Processes,19,GO:0120039,plasma membrane bounded cell projection morphogenesis,19_GO:0032502 developmental process,-5.5,7.3,7.1,21160,565,46,9,20,5.8,12322|12799|13385|17754|20614|20910|22152|65254|234267,Camk2a|Cnp|Dlg4|Map1a|Snap25|Stxbp1|Tubb3|Dpysl5|Gpm6a,-3.5
MyList,GO Biological Processes,19,GO:0019725,cellular homeostasis,19_GO:0042592 homeostatic process,-5.5,6.3,6.8,21160,732,46,10,22,6.1,11938|11964|15275|17754|19349|68585|72961|98660|108664|235380,Atp2a2|Atp6v1a|Hk1|Map1a|Rab7|Rtn4|Slc17a7|Atp1a2|Atp6v1h|Dmxl2,-3.5
MyList,Reactome Gene Sets,6,R-MMU-416993,Trafficking of GluR2-containing AMPA receptors,,-5.5,99,17,21160,14,46,3,6.5,3.6,11771|11772|18195,Ap2a1|Ap2a2|Nsf,-3.5
MyList,GO Biological Processes,19,GO:0007006,mitochondrial membrane organization,19_GO:0009987 cellular process,-5.4,21,9.8,21160,109,46,5,11,4.6,12322|12799|15519|15525|22334,Camk2a|Cnp|Hsp90aa1|Hspa4|Vdac2,-3.4
MyList,GO Biological Processes,19,GO:0007215,glutamate receptor signaling pathway,19_GO:0050896 response to stimulus,-5.3,36,12,21160,51,46,4,8.7,4.2,12322|13385|14682|18823,Camk2a|Dlg4|Gnaq|Plp1,-3.4
MyList,KEGG Pathway,24,mmu04725,Cholinergic synapse - Mus musculus (house mouse),,-5.3,20,9.6,21160,113,46,5,11,4.6,12322|12323|14672|14682|15461,Camk2a|Camk2b|Gna11|Gnaq|Hras,-3.4
MyList,Reactome Gene Sets,6,R-MMU-5578775,Ion homeostasis,,-5.3,35,12,21160,52,46,4,8.7,4.2,11938|12322|12323|98660,Atp2a2|Camk2a|Camk2b|Atp1a2,-3.4
MyList,KEGG Pathway,24,mmu04724,Glutamatergic synapse - Mus musculus (house mouse),,-5.3,20,9.5,21160,116,46,5,11,4.6,13385|14682|14683|26562|72961,Dlg4|Gnaq|Gnas|Ncdn|Slc17a7,-3.3
MyList,KEGG Pathway,24,mmu04066,HIF-1 signaling pathway - Mus musculus (house mouse),,-5.3,20,9.4,21160,117,46,5,11,4.6,12322|12323|15275|18597|56421,Camk2a|Camk2b|Hk1|Pdha1|Pfkp,-3.3
MyList,GO Biological Processes,19,GO:0120035,regulation of plasma membrane bounded cell projection organization,19_GO:0050789 regulation of biological process,-5.3,5.9,6.5,21160,782,46,10,22,6.1,11771|12323|13385|15461|15519|20614|22240|65254|68585|234267,Ap2a1|Camk2b|Dlg4|Hras|Hsp90aa1|Snap25|Dpysl3|Dpysl5|Rtn4|Gpm6a,-3.3
MyList,Reactome Gene Sets,6,R-MMU-936837,Ion transport by P-type ATPases,,-5.2,34,11,21160,54,46,4,8.7,4.2,11938|12322|12323|98660,Atp2a2|Camk2a|Camk2b|Atp1a2,-3.3
MyList,Reactome Gene Sets,6,R-MMU-2132295,MHC class II antigen presentation,,-5.2,19,9.3,21160,120,46,5,11,4.6,11771|11772|13424|19349|22152,Ap2a1|Ap2a2|Dync1h1|Rab7|Tubb3,-3.3
MyList,GO Biological Processes,19,GO:0061564,axon development,19_GO:0032502 developmental process,-5.2,7.9,7,21160,466,46,8,17,5.6,12799|17754|18823|20614|20910|22152|65254|68585,Cnp|Map1a|Plp1|Snap25|Stxbp1|Tubb3|Dpysl5|Rtn4,-3.3
MyList,GO Biological Processes,19,GO:0031344,regulation of cell projection organization,19_GO:0050789 regulation of biological process,-5.2,5.8,6.4,21160,798,46,10,22,6.1,11771|12323|13385|15461|15519|20614|22240|65254|68585|234267,Ap2a1|Camk2b|Dlg4|Hras|Hsp90aa1|Snap25|Dpysl3|Dpysl5|Rtn4|Gpm6a,-3.3
MyList,KEGG Pathway,24,mmu01200,Carbon metabolism - Mus musculus (house mouse),,-5.2,19,9.2,21160,122,46,5,11,4.6,11429|15275|18293|18597|56421,Aco2|Hk1|Ogdh|Pdha1|Pfkp,-3.3
MyList,GO Biological Processes,19,GO:0060627,regulation of vesicle-mediated transport,19_GO:0051179 localization,-5.2,6.6,6.6,21160,628,46,9,20,5.8,11771|11938|13385|18195|19349|20910|26562|72961|104015,Ap2a1|Atp2a2|Dlg4|Nsf|Rab7|Stxbp1|Ncdn|Slc17a7|Synj1,-3.2
MyList,GO Biological Processes,19,GO:0016050,vesicle organization,19_GO:0009987 cellular process,-5.1,9.4,7.3,21160,342,46,7,15,5.3,11964|13385|19349|20614|20910|72961|108664,Atp6v1a|Dlg4|Rab7|Snap25|Stxbp1|Slc17a7|Atp6v1h,-3.2
MyList,Reactome Gene Sets,6,R-MMU-1266738,Developmental Biology,,-5,7.5,6.8,21160,489,46,8,17,5.6,11771|11772|13385|15461|15519|22152|22240|65254,Ap2a1|Ap2a2|Dlg4|Hras|Hsp90aa1|Tubb3|Dpysl3|Dpysl5,-3.2
MyList,GO Biological Processes,19,GO:0097401,synaptic vesicle lumen acidification,19_GO:0042592 homeostatic process,-5,69,14,21160,20,46,3,6.5,3.6,11964|72961|108664,Atp6v1a|Slc17a7|Atp6v1h,-3.1
MyList,Reactome Gene Sets,6,R-MMU-109582,Hemostasis,,-4.9,7.3,6.7,21160,505,46,8,17,5.6,11938|14672|14674|14682|14683|15461|22152|269060,Atp2a2|Gna11|Gna13|Gnaq|Gnas|Hras|Tubb3|Dagla,-3.1
MyList,GO Biological Processes,19,GO:0048667,cell morphogenesis involved in neuron differentiation,19_GO:0032502 developmental process,-4.9,7.2,6.6,21160,509,46,8,17,5.6,12322|12799|13385|17754|20614|20910|22152|65254,Camk2a|Cnp|Dlg4|Map1a|Snap25|Stxbp1|Tubb3|Dpysl5,-3
MyList,KEGG Pathway,24,mmu04720,Long-term potentiation - Mus musculus (house mouse),,-4.9,27,10,21160,67,46,4,8.7,4.2,12322|12323|14682|15461,Camk2a|Camk2b|Gnaq|Hras,-3
MyList,Reactome Gene Sets,6,R-MMU-438066,"Unblocking of NMDA receptors, glutamate binding and activation",,-4.8,63,14,21160,22,46,3,6.5,3.6,12322|12323|13385,Camk2a|Camk2b|Dlg4,-3
MyList,Reactome Gene Sets,6,R-MMU-3371571,HSF1-dependent transactivation,,-4.8,63,14,21160,22,46,3,6.5,3.6,12322|12323|15519,Camk2a|Camk2b|Hsp90aa1,-3
MyList,GO Biological Processes,19,GO:1902600,proton transmembrane transport,19_GO:0051179 localization,-4.8,16,8.4,21160,143,46,5,11,4.6,11964|22348|72961|98660|108664,Atp6v1a|Slc32a1|Slc17a7|Atp1a2|Atp6v1h,-3
MyList,GO Biological Processes,19,GO:0048259,regulation of receptor-mediated endocytosis,19_GO:0051179 localization,-4.8,16,8.4,21160,144,46,5,11,4.6,11771|13385|18195|26562|104015,Ap2a1|Dlg4|Nsf|Ncdn|Synj1,-3
MyList,KEGG Pathway,24,mmu05230,Central carbon metabolism in cancer - Mus musculus (house mouse),,-4.8,27,10,21160,69,46,4,8.7,4.2,15275|15461|18597|56421,Hk1|Hras|Pdha1|Pfkp,-3
MyList,GO Biological Processes,19,GO:0036465,synaptic vesicle recycling,19_GO:0051179 localization,-4.8,27,10,21160,69,46,4,8.7,4.2,11771|11772|19349|104015,Ap2a1|Ap2a2|Rab7|Synj1,-3
MyList,GO Biological Processes,19,GO:0007268,chemical synaptic transmission,19_GO:0050789 regulation of biological process,-4.8,8.5,6.9,21160,379,46,7,15,5.3,13385|20614|20910|50997|72961|104015|235380,Dlg4|Snap25|Stxbp1|Mpp2|Slc17a7|Synj1|Dmxl2,-3
MyList,GO Biological Processes,19,GO:0098916,anterograde trans-synaptic signaling,19_GO:0050789 regulation of biological process,-4.8,8.5,6.9,21160,379,46,7,15,5.3,13385|20614|20910|50997|72961|104015|235380,Dlg4|Snap25|Stxbp1|Mpp2|Slc17a7|Synj1|Dmxl2,-3
MyList,GO Biological Processes,19,GO:0016082,synaptic vesicle priming,19_GO:0051179 localization,-4.8,60,13,21160,23,46,3,6.5,3.6,20614|20910|104015,Snap25|Stxbp1|Synj1,-3
MyList,WikiPathways,27,WP385,Myometrial relaxation and contraction pathways,,-4.7,15,8.2,21160,150,46,5,11,4.6,11938|12322|12323|14682|14683,Atp2a2|Camk2a|Camk2b|Gnaq|Gnas,-2.9
MyList,GO Biological Processes,19,GO:0006886,intracellular protein transport,19_GO:0051179 localization,-4.7,6.8,6.4,21160,539,46,8,17,5.6,11771|11772|15519|15525|17754|18195|19349|20910,Ap2a1|Ap2a2|Hsp90aa1|Hspa4|Map1a|Nsf|Rab7|Stxbp1,-2.9
MyList,Reactome Gene Sets,6,R-MMU-428930,Thromboxane signalling through TP receptor,,-4.7,58,13,21160,24,46,3,6.5,3.6,14672|14674|14682,Gna11|Gna13|Gnaq,-2.9
MyList,KEGG Pathway,24,mmu05010,Alzheimer disease - Mus musculus (house mouse),,-4.7,8.3,6.8,21160,389,46,7,15,5.3,11938|14682|15461|20168|22152|22334|68585,Atp2a2|Gnaq|Hras|Rtn3|Tubb3|Vdac2|Rtn4,-2.9
MyList,KEGG Pathway,24,mmu05200,Pathways in cancer - Mus musculus (house mouse),,-4.7,6.7,6.3,21160,548,46,8,17,5.6,12322|12323|14672|14674|14682|14683|15461|15519,Camk2a|Camk2b|Gna11|Gna13|Gnaq|Gnas|Hras|Hsp90aa1,-2.9
MyList,GO Biological Processes,19,GO:1903532,positive regulation of secretion by cell,19_GO:0051179 localization,-4.6,8.1,6.6,21160,400,46,7,15,5.3,14672|14682|14683|19349|20614|20910|68585,Gna11|Gnaq|Gnas|Rab7|Snap25|Stxbp1|Rtn4,-2.8
MyList,GO Biological Processes,19,GO:0050803,regulation of synapse structure or activity,19_GO:0065007 biological regulation,-4.6,8,6.6,21160,401,46,7,15,5.3,12323|13385|14674|20614|68585|72961|234267,Camk2b|Dlg4|Gna13|Snap25|Rtn4|Slc17a7|Gpm6a,-2.8
MyList,KEGG Pathway,24,mmu04934,Cushing syndrome - Mus musculus (house mouse),,-4.6,14,7.9,21160,162,46,5,11,4.6,12322|12323|14672|14682|14683,Camk2a|Camk2b|Gna11|Gnaq|Gnas,-2.8
MyList,KEGG Pathway,24,mmu05012,Parkinson disease - Mus musculus (house mouse),,-4.6,10,7.1,21160,274,46,6,13,5,12322|12323|14683|22152|22201|22334,Camk2a|Camk2b|Gnas|Tubb3|Uba1|Vdac2,-2.8
MyList,GO Biological Processes,19,GO:0007212,G protein-coupled dopamine receptor signaling pathway,19_GO:0050896 response to stimulus,-4.6,51,12,21160,27,46,3,6.5,3.6,14672|14682|14683,Gna11|Gnaq|Gnas,-2.8
MyList,GO Biological Processes,19,GO:0006090,pyruvate metabolic process,19_GO:0009987 cellular process,-4.5,22,9.1,21160,82,46,4,8.7,4.2,15275|18293|18597|56421,Hk1|Ogdh|Pdha1|Pfkp,-2.7
MyList,GO Biological Processes,19,GO:0046034,ATP metabolic process,19_GO:0009987 cellular process,-4.5,14,7.7,21160,169,46,5,11,4.6,11964|15275|18293|56421|98660,Atp6v1a|Hk1|Ogdh|Pfkp|Atp1a2,-2.7
MyList,GO Biological Processes,19,GO:0035235,ionotropic glutamate receptor signaling pathway,19_GO:0050896 response to stimulus,-4.4,46,12,21160,30,46,3,6.5,3.6,12322|13385|18823,Camk2a|Dlg4|Plp1,-2.7
MyList,WikiPathways,27,WP434,TCA cycle,,-4.4,45,11,21160,31,46,3,6.5,3.6,11429|18293|18597,Aco2|Ogdh|Pdha1,-2.6
MyList,GO Biological Processes,19,GO:0034220,monoatomic ion transmembrane transport,19_GO:0051179 localization,-4.4,5.3,5.7,21160,788,46,9,20,5.8,11938|11964|20614|22334|22348|72961|98660|108664|234267,Atp2a2|Atp6v1a|Snap25|Vdac2|Slc32a1|Slc17a7|Atp1a2|Atp6v1h|Gpm6a,-2.6
MyList,Reactome Gene Sets,6,R-MMU-456926,Thrombin signalling through proteinase activated receptors (PARs),,-4.3,43,11,21160,32,46,3,6.5,3.6,14672|14674|14682,Gna11|Gna13|Gnaq,-2.6
MyList,KEGG Pathway,24,mmu00020,Citrate cycle (TCA cycle) - Mus musculus (house mouse),,-4.3,43,11,21160,32,46,3,6.5,3.6,11429|18293|18597,Aco2|Ogdh|Pdha1,-2.6
MyList,GO Biological Processes,19,GO:0006839,mitochondrial transport,19_GO:0051179 localization,-4.3,13,7.3,21160,183,46,5,11,4.6,12322|12799|15519|15525|22334,Camk2a|Cnp|Hsp90aa1|Hspa4|Vdac2,-2.6
MyList,KEGG Pathway,24,mmu04145,Phagosome - Mus musculus (house mouse),,-4.3,13,7.3,21160,183,46,5,11,4.6,11964|13424|19349|22152|108664,Atp6v1a|Dync1h1|Rab7|Tubb3|Atp6v1h,-2.6
MyList,Reactome Gene Sets,6,R-MMU-437239,Recycling pathway of L1,,-4.3,42,11,21160,33,46,3,6.5,3.6,11771|11772|22152,Ap2a1|Ap2a2|Tubb3,-2.6
MyList,Reactome Gene Sets,6,R-MMU-392518,Signal amplification,,-4.3,42,11,21160,33,46,3,6.5,3.6,14672|14674|14682,Gna11|Gna13|Gnaq,-2.6
MyList,GO Biological Processes,19,GO:0051047,positive regulation of secretion,19_GO:0051179 localization,-4.3,7.1,6.1,21160,452,46,7,15,5.3,14672|14682|14683|19349|20614|20910|68585,Gna11|Gnaq|Gnas|Rab7|Snap25|Stxbp1|Rtn4,-2.6
